,artist_id,artist_name,genres,popularity
142,1xU878Z1QtBldR7ru9owdU,Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'pop rock', 'rock independant francais']",66
143,3kVUvbeRdcrqQ3oHk5hPdx,Grouplove,"['indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",70
144,59KX7XUUgAOOo5IyDjca0T,Verzache,['sad lo-fi'],67
145,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"['electro', 'filter house']",83
146,1rAv1GhTQ2rmG94p9lU3rB,Julian Casablancas,['indie rock'],64
147,5MmVJVhhYKQ86izuGHzJYA,MIKA,"['europop', 'pop']",70
148,3l0CmX0FuQjFxr8SK7Vqag,Clairo,"['bedroom pop', 'indie pop', 'pop']",81
149,3eCd0TZrBPm2n9cDG6yWfF,DEAN,"['k-pop', 'korean r&b']",67
150,1OjcBoc71FwlzD5cJGx7xk,SULLI,['k-pop'],49
151,6UdKtISMXYKSR8jcgtFePo,Rad Museum,"['k-indie', 'korean r&b']",56
152,6aLdhHUqgdKE86xbtNmY8g,Crush,"['chill r&b', 'k-pop', 'korean r&b']",70
153,2vVT4qoxWje0gVD2FiWZ4u,Jeff Bernat,"['chill r&b', 'pop', 'popping']",65
154,5T0MSzX9RC5NA6gAI6irSn,Estelle,"['neo soul', 'r&b']",70
155,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"['chicago rap', 'rap']",95
156,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,"['colombian pop', 'pop', 'r&b']",86
157,57vWImR43h4CaDao012Ofp,Steve Lacy,['afrofuturism'],81
158,6vHBuUxrcpn1do5UaEJ7g6,Domo Genesis,"['alternative hip hop', 'hip hop', 'rap', 'underground hip hop']",61
159,3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,['escape room'],85
160,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",81
161,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","['hip hop', 'rap']",89
162,6CxZzQFUTM6AzgluGwtq5w,Charlie Wilson,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",64
163,57ZTzIn5GLxNLzWgnTTcHj,Chaz Bundick,[],55
164,3jk39CGeaaSO3FPKNx1RUx,Syd,"['alternative r&b', 'chill r&b', 'escape room', 'indie r&b', 'indie soul', 'lgbtq+ hip hop', 'r&b']",70
165,7sOR7gk6XUlGnxj3p9F54k,half•alive,"['alt z', 'indie pop', 'modern alternative rock', 'modern rock']",66
166,5MnIJOSS6Jl0H4nUayHYFs,Driver,['phonk'],50
